GRvalue,agent,cell_count,cell_count__ctrl,cell_count__time0,cell_line,concentration,timepoint,receptor_status,color_map
0.771404509,AZD5363,,,,HCC70,0.0031622779999999997,72,TNBC,#ca7832
0.47321555200000004,AZD5363,,,,HCC70,0.01,72,TNBC,#ca7832
0.37191013100000003,AZD5363,,,,HCC70,0.031622777000000005,72,TNBC,#ca7832
0.357691177,AZD5363,,,,HCC70,0.1,72,TNBC,#ca7832
0.24139194600000002,AZD5363,,,,HCC70,0.316227766,72,TNBC,#ca7832
0.233745918,AZD5363,,,,HCC70,1.0,72,TNBC,#ca7832
0.16921093199999998,AZD5363,,,,HCC70,3.16227766,72,TNBC,#ca7832
-0.162946265,AZD5363,,,,HCC70,10.0,72,TNBC,#ca7832
0.9912547140000001,AZD5363,,,,MCF10A,0.001,72,NM,#c85f61
1.022463905,AZD5363,,,,MCF10A,0.0031622779999999997,72,NM,#c85f61
1.018696125,AZD5363,,,,MCF10A,0.01,72,NM,#c85f61
1.008284102,AZD5363,,,,MCF10A,0.031622777000000005,72,NM,#c85f61
0.9917455959999999,AZD5363,,,,MCF10A,0.1,72,NM,#c85f61
0.9730551190000001,AZD5363,,,,MCF10A,0.316227766,72,NM,#c85f61
0.960939213,AZD5363,,,,MCF10A,1.0,72,NM,#c85f61
0.914223062,AZD5363,,,,MCF10A,3.16227766,72,NM,#c85f61
0.797099583,AZD5363,,,,MCF10A,10.0,72,NM,#c85f61
1.015987555,AZD5363,,,,MDAMB231,0.001,72,TNBC,#ca7832
1.0023655390000001,AZD5363,,,,MDAMB231,0.0031622779999999997,72,TNBC,#ca7832
1.038378532,AZD5363,,,,MDAMB231,0.01,72,TNBC,#ca7832
0.9482731040000001,AZD5363,,,,MDAMB231,0.031622777000000005,72,TNBC,#ca7832
1.031218183,AZD5363,,,,MDAMB231,0.1,72,TNBC,#ca7832
1.072936522,AZD5363,,,,MDAMB231,0.316227766,72,TNBC,#ca7832
1.009783527,AZD5363,,,,MDAMB231,1.0,72,TNBC,#ca7832
1.051537825,AZD5363,,,,MDAMB231,3.16227766,72,TNBC,#ca7832
1.080597139,AZD5363,,,,MDAMB231,10.0,72,TNBC,#ca7832
