timepoint,agent,cell_line,GR50,GRmax,GR_AOC,GEC50,GRinf,h_GR,r2_GR,pval_GR,receptor_status,color_map
72,ZZ1-33B,MDAMB436,0.008965839,-0.087450105,0.756374222,0.008986176,-0.001883504,1.659484603,0.989728553,1.1e-07,TNBC,#ca7832
72,ZZ1-33B,MDAMB453,0.000696381,-0.220726106,1.063555353,0.0009062,-0.151248841,1.003493878,0.961909818,1.0800000000000003e-05,TNBC,#ca7832
72,ZZ1-33B,MDAMB468,0.011909681,-0.401202743,0.807985752,0.021000818,-0.254024088,0.7242756379999999,0.964278818,8.61e-06,TNBC,#ca7832
72,senexin b,MDAMB134,inf,0.453521854,0.369974863,0.0,0.6158320110000001,0.01,2.22e-16,0.237530463,HR+,#7da245
72,senexin b,MDAMB157,1.660101335,0.068144995,0.299279281,51.29184807,-1.0,0.320234145,0.615123034,0.035369321,TNBC,#ca7832
72,senexin b,MDAMB361,1.716056204,0.274255419,0.320655042,126.5925932,-0.937820263,0.245591464,0.870660432,0.0007781439999999999,HER2amp,#4dab9b
72,senexin b,MDAMB436,8.766026369,0.435661967,0.082719243,24.17747792,-1.0,1.082869611,0.952555223,2.33e-05,TNBC,#ca7832
72,senexin b,MDAMB453,3.907624074,0.128032029,0.18157126,14.70223375,-1.0,0.82909761,0.776337045,0.005291505,TNBC,#ca7832
72,senexin b,MDAMB468,2.082846074,0.133088116,0.280562652,40.58899547,-0.865852207,0.338385984,0.861487331,0.000989039,TNBC,#ca7832
72,AZD1775,CAL120,0.201114295,-0.253428879,0.483417801,1.049517251,-0.621797443,0.48908938,0.988845606,1.47e-07,TNBC,#ca7832
72,AZD1775,CAL51,0.30615737,-0.16703251800000002,0.44778091,4.977114321,-1.0,0.393978773,0.988302331,1.73e-07,TNBC,#ca7832
72,AZD1775,CAL85-1,0.206000435,-0.525346646,0.480021128,3.241128794,-0.963341837,0.389676483,0.832850832,0.001909259,TNBC,#ca7832
72,AZD1775,CAMA1,5.509202887,-0.185378934,0.035852093,8.607384111,-1.0,2.462149355,0.8430716779999999,0.001530928,HR+,#7da245
72,AZD1775,MCF10A (GM),5.345348211,0.041823807000000005,0.13501819199999998,8.840108159,-0.7156023020000001,1.765922394,0.953044688,2.24e-05,NM,#c85f61
72,AZD1775,SKBR3,0.220588416,-0.542518775,0.5175625660000001,2.022775015,-1.0,0.495779995,0.95658202,1.7100000000000002e-05,HER2amp,#4dab9b
72,AZD2014,CAL120,0.183179162,0.211806408,0.463013398,0.304038255,-0.083819377,0.305875206,0.959252856,1.3699999999999998e-05,TNBC,#ca7832
72,AZD2014,CAL51,0.181504176,0.211244347,0.479962223,329.0616613,-1.0,0.14642849900000002,0.972459979,3.47e-06,TNBC,#ca7832
72,AZD2014,CAL85-1,0.008012405,0.11792298,0.636026275,0.004469847,0.074653151,0.27706121,0.8663786059999999,0.000872099,TNBC,#ca7832
72,AZD2014,CAMA1,5.32E-05,-0.06163604,0.867028767,0.000138002,-0.11193668,0.212111775,0.829570895,0.002043634,HR+,#7da245
72,AZD2014,MCF10A (GM),0.036873136,0.119799243,0.571085287,0.30586112600000004,-0.282488748,0.211694698,0.992771932,3.21e-08,NM,#c85f61
72,AZD2014,SKBR3,1.27E-05,-0.039755653,0.862193567,0.0004267230000000001,-0.291913396,0.130810136,0.959827106,1.3e-05,HER2amp,#4dab9b
72,AZD5363,CAL120,48.92087475,0.8058351559999999,0.039683348,216.7610939,-0.984874641,0.731212999,0.747341812,0.008107124,TNBC,#ca7832
72,AZD5363,CAL51,30.99054007,0.57157427,0.158616822,1000.0,-0.8367234170000001,0.283059253,0.938756973,5.68e-05,TNBC,#ca7832
72,AZD5363,CAL85-1,32.06537609,0.619839417,0.091233323,432.3008225,-1.0,0.422324737,0.7306668390000001,0.01013945,TNBC,#ca7832
72,AZD5363,CAMA1,0.052392565,-0.071293272,0.5748396689999999,10.7271223,-1.0,0.206437544,0.952181439,2.39e-05,HR+,#7da245
72,AZD5363,MCF10A (GM),inf,0.642224714,0.214507838,0.078307508,0.586349271,0.372018911,0.987941723,1.93e-07,NM,#c85f61
72,AZD5363,SKBR3,2.864931585,0.146893461,0.226157604,28.92566898,-1.0,0.47514032,0.862092258,0.000974003,HER2amp,#4dab9b
72,AZD6738,CAL120,inf,0.7825438929999999,-0.16908068399999998,0.0,1.0,0.01,-1.281113447,0.603529248,TNBC,#ca7832
72,AZD6738,CAL51,5.465203219,0.057887121,0.100211106,10.83314933,-1.0,1.605666501,0.984652786,4.48e-07,TNBC,#ca7832
72,AZD6738,CAL85-1,4.532829987,0.143423198,0.067049183,4.264846685,0.131328157,5.0,0.8896490509999999,0.000446392,TNBC,#ca7832
